bott_purity,case_type,condenser_duty_kW,conversion,dist_purity,error,n_stages,outlet_B_flow,outlet_temp_c,reboiler_duty_kW,reflux_ratio,success,temperature_c,volume_m3
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,80,0.5
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,100,0.5
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,120,0.5
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,150,0.5
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,80,1.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,100,1.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,120,1.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,150,1.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,80,2.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,100,2.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,120,2.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,150,2.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,80,5.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,100,5.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,120,5.0
,PFR,,0,,'IFlowsheet' object has no attribute 'AddMaterialStream',,0,0,,,False,150,5.0
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',8,,,0,1.5,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',8,,,0,2.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',8,,,0,3.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',8,,,0,4.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',10,,,0,1.5,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',10,,,0,2.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',10,,,0,3.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',10,,,0,4.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',15,,,0,1.5,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',15,,,0,2.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',15,,,0,3.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',15,,,0,4.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',20,,,0,1.5,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',20,,,0,2.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',20,,,0,3.0,False,,
0,Column,0,,0,'IFlowsheet' object has no attribute 'AddMaterialStream',20,,,0,4.0,False,,
